楼盘名称,楼盘位置,单价,总价,面积
首开保利·熙悦诚郡,大兴区,79000,1011-1232万,3-4室128-156㎡
金域蓝湾,北京周边,,,2-3室68-119㎡
江南别院,昌平区,7000,总价待定,197-236㎡
旭辉E天地,房山区,21000,73万起,1-6室35-660㎡
达观别墅,东城区,16000,总价待定,3-5室300-525㎡
天资华府,房山区,43000,399万起,2室93㎡
金域缇香,房山区,24570,总价待定,
公园新区,东城区,12777,总价待定,1-3室61-135㎡
北京奥林匹克花园四期,朝阳区,,,
中海长安雅苑,石景山区,27000,总价待定,2-3室78-85㎡
北京原著,东城区,,,2-3室83-142㎡
国开西山湖,丰台区,,,2-3室80-158㎡
北京壹号院,朝阳区,170000,总价待定,3-4室249-307㎡
紫金长安,海淀区,60000,352-414万,2-3室58-69㎡
融科钧廷,通州区,20933,总价待定,
京西花园新城,北京周边,,,2-3室82-138㎡
融尚未来,昌平区,57000,总价待定,3-4室117-220㎡
涧桥山,密云区,17086,总价待定,
恒华湖公馆,顺义区,46000,432-662万,2-4室90-248㎡
森林新都孔雀城,房山区,9000,总价待定,5室74-260㎡
北京青果,东城区,10000,总价待定,
保利首开天誉,朝阳区,2680,总价待定,5室160-384㎡
香花畦家园,顺义区,28148,总价待定,
永定河孔雀城唐顿公馆,固安县,20000,162-186万,2-3室81-93㎡
广阳郡九号,房山区,45000,625-850万,3-4室139-189㎡
首开保利·熙悦诚郡,大兴区,79000,1011-1232万,3-4室128-156㎡
顺义金宝城,顺义区,,610-665万,2-4室89-177㎡
天地新城启承,北京周边,13000,总价待定,2-3室90-127㎡
金第梦想山,怀柔区,16477,总价待定,
华润理想国,昌平区,,,3-4室90-140㎡
海南-碧桂园珊瑚宫殿,海淀区,,,2-3室64-88㎡
众美城,大兴区,,,2-3室89-231㎡
中国铁建顺新嘉苑,顺义区,16000,总价待定,3室100-116㎡
海口融创·美伦熙语-北京站,海淀区,,,2-3室75-105㎡
金地悦风华,大兴区,55016,总价待定,3-4室89-139㎡
中铁花溪渡,顺义区,,642万起,3室169㎡
枫丹壹號,大兴区,,,
世茂•西山龙胤,海淀区,,,5室680-1270㎡
中国铁建花语府,大兴区,71000,1058万起,2-3室125-150㎡
首创禧瑞墅,顺义区,50000,916万起,4室137-293㎡
千章墅嘉园,通州区,44000,总价待定,3-5室238㎡
海口-绿地文化城-北京站,海淀区,13000,总价待定,2室89㎡
融科望京中心,朝阳区,,,106㎡
星光视界中心,大兴区,23000,288万起,1室125㎡
远洋新仕界,房山区,,,4室108-126㎡
佳兆业东戴河,朝阳区,8000,84万起,2室105㎡
金地朗悦,房山区,25036,总价待定,2-3室80-216㎡
旭辉御府,大兴区,35040,总价待定,
帅府园二期,通州区,28800,总价待定,1-4室53-160㎡
燕达首尔·国际村,北京周边,11000,总价待定,
西区国际,丰台区,,,30-33㎡
京东新城,北京周边,12288,总价待定,1-3室63-126㎡
金第万科金域东郡,大兴区,,,
长城脚下饮马川,密云区,40000,348-382万,2室87-116㎡
华远西山雅园,门头沟区,22000,总价待定,2室81㎡
京东电子城,北京周边,6500,总价待定,2-3室64-105㎡
cago寓所,大兴区,21782,总价待定,1-3室81-147㎡
金地海南自在城-北京站,海淀区,12000,73万起,1室61㎡
地杰长安公馆,朝阳区,90000,总价待定,
国泉城,北京周边,,,2-4室75-183㎡
润泽御府,朝阳区,,,
汇元四季橙,北京周边,,,1室53-64㎡
尚品国际,东城区,13500,总价待定,1-3室53-137㎡
恋日水岸,密云区,16427,总价待定,
橡树湾,海淀区,,,
国隆府,北京周边,,,
金樾和著,房山区,38994,总价待定,3-4室89-127㎡
金隅花街,通州区,32000,214万起,1室67㎡
行宫御东园,密云区,,,
绿地国际花都,密云区,17582,总价待定,
合生霄云路8号,朝阳区,160000,总价待定,4-5室450-520㎡
首创·澜茵山,密云区,35400,总价待定,3室356㎡
孔雀公馆,北京周边,,,1-2室90㎡
泰禾•金府大院,丰台区,84000,总价待定,4室150-402㎡
海天翼,朝阳区,7500,43-73万,1-2室54-98㎡
首城东郡汇,朝阳区,22000,总价待定,2室83㎡
中铁朗峰,房山区,12000,112万起,3室118㎡
翡翠长安,门头沟区,56000,总价待定,3室140㎡
鑫都汇·瑞公馆,大兴区,27500,90-148万,2-3室33-54㎡
荣盛汤泉首岭,朝阳区,8000,97-99万,2室114-116㎡
长江熙岸孔雀城,和县,7500,61-73万,3室90-105㎡
首开香溪郡,通州区,45500,262万起,2-5室80-207㎡
万科七橡墅,房山区,22434,403万起,3-4室180-330㎡
远洋新天地,门头沟区,60000,总价待定,2-3室42-75㎡
北京城建龙樾华府,昌平区,66666,总价待定,3-4室210-240㎡
紫金湾·景尚,抚宁区,5600,35-36万,2-4室87-147㎡
首尔甜城,海淀区,19800,562万起,3室97㎡
北京半岛,房山区,,1225万起,3室306㎡
五矿名品,房山区,49000,681万起,2室131㎡
玺源台,西城区,108000,696-994万,1-2室63-90㎡
绿地诺亚方舟望天树,房山区,26000,130万起,1室50㎡
御海龙湾,朝阳区,5000,42-54万,2室85-108㎡
利锦府府尚,朝阳区,85000,2584万起,5室304㎡
长海御墅,房山区,20000,454万起,3室311㎡
昊翔源壹城中心,仲恺区,9800,91-138万,3-4室83-138㎡
优山美地D区,顺义区,74800,2352万起,6室415-653㎡
鑫苑鑫都汇,大兴区,26000,111-2600万,43-1000㎡
富华长安运河,通州区,80000,8000万起,4室1000㎡
京南银座,东城区,7700,总价待定,65㎡
和成璟园,大兴区,30000,836万起,3-4室90-220㎡
顺鑫·蓝光雍锦山河,顺义区,,445万起,3-4室135-212㎡
水墨林溪,房山区,,684万起,5室195㎡
雲舒苑,房山区,,,1-4室40-139㎡
万隆财富广场,北京周边,,,1-3室63-98㎡
北京商务公园,通州区,24000,8409万起,1室3504㎡
首开华润花香四季,丰台区,29000,总价待定,1-3室44-89㎡
华润智慧中心,昌平区,60000,579-976万,3-4室95-160㎡
海南-融创日月湾-北京站,海淀区,28000,总价待定,3室153㎡
海南-罗曼帝克-北京站,海淀区,16000,88-227万,1-3室55-142㎡
天恒半山世家,怀柔区,32855,总价待定,
润西山B组团,门头沟区,36000,总价待定,
万通龙山逸墅,怀柔区,22000,总价待定,
和悦华锦,大兴区,52695,总价待定,3-4室89-135㎡
万汇广场,北京周边,,,2-3室78-118㎡
京杭府,通州区,29800,总价待定,
福瑞城,北京周边,,,2室74-78㎡
K2清水湾,通州区,35730,总价待定,
澜馨墅,顺义区,,,4室253-369㎡
万科长阳半岛vmo,房山区,35000,总价待定,3-4室210-230㎡
万科大都会,朝阳区,90427,总价待定,
北京城建胜茂傲山,房山区,29000,437-521万,3-4室175-213㎡
首创紫悦台,房山区,,,2-3室80-90㎡
跃界,北京周边,,,3-5室100-127㎡
华远裘马四季,门头沟区,65000,1021-1235万,1-5室13-191㎡
鑫苑·鑫都汇,大兴区,26000,111万起,1室43㎡
首开凯盛街,海淀区,,,1室130㎡
中海北京世家,大兴区,60000,总价待定,
新年华SOHO,宣武,45000,总价待定,1室25-74㎡
金隅澜湾,昌平区,,,
高铁新干线,北京周边,,,2-3室77-128㎡
彼岸城,东城区,21000,总价待定,
徜徉集,房山区,17000,总价待定,2-4室65-139㎡
和棠瑞著,平谷区,,,
兰亭雅居,北京周边,,,4室341-791㎡
北京华侨城,朝阳区,48000,总价待定,
京投发展璟悦府,平谷区,32500,总价待定,2-4室80-165㎡
亦庄金茂府,大兴区,65000,1050万起,4室150㎡
海南-隆鑫诺亚方舟-北京站,海淀区,,,2室90㎡
万科幸福汇,房山区,14676,总价待定,
御河壹号庄园,顺义区,,,
华远澜悦,密云区,14300,总价待定,3室88-118㎡
常楹公元,朝阳区,40000,总价待定,
七彩云南·古滇名城-北京站,海淀区,14000,92-935万,2-7室77-668㎡
北欧橄榄谷,北京周边,12500,总价待定,1-3室55-174㎡
金隅上城郡,昌平区,45000,总价待定,3-5室214-394㎡
燕郊孔雀城,北京周边,16000,总价待定,2室75㎡
水色时光澜馨墅,顺义区,48100,1406万起,5室293㎡
中国山水醉,房山区,8000,总价待定,
华瀚国际,朝阳区,,,
东亚逸品阁,通州区,27058,总价待定,2-3室85-115㎡
棕榈滩2期云湖别墅,顺义区,,,8室1145㎡
首创伊林郡,房山区,17800,总价待定,2-3室78-117㎡
天鹅堡悦湖,通州区,55651,总价待定,
中奥广场首站,丰台区,39000,88万起,1室40㎡
北京龙脉温泉花园,昌平区,26800,总价待定,2-9室96-613㎡
荣盛阿尔卡迪亚花语城,东城区,12500,总价待定,1-3室59-138㎡
绿地国宝21城,东城区,15588,总价待定,2-5室63-166㎡
嵘御航城,北京周边,,,2-5室96-261㎡
葛洲坝紫郡府,大兴区,34453,总价待定,3室108-135㎡
青年汇,北京周边,43792,总价待定,2室93-106㎡
通泰·国际公馆,大兴区,67000,589-603万,2-3室88-90㎡
永清融创城,房山区,14000,总价待定,3室34-118㎡
明发高榜新城,惠城区,,,2-3室77-111㎡
拉斐水岸,延庆区,13000,总价待定,4室88-427㎡
都麗華府,平谷区,34000,296-304万,2室125-129㎡
孔雀城大学里四期,北京周边,,,2-4室79-122㎡
潮白河孔雀城剑桥郡,北京周边,,,2-3室74-109㎡
紫贵御园,平谷区,16000,148-357万,2-3室85-130㎡
三亚-海棠花开-北京站,海淀区,33000,283-287万,2-3室86-92㎡
凯迪尚府,宣武,82234,总价待定,1-3室49-149㎡
国韵村,大兴区,75000,636-1021万,2-4室86-174㎡
领秀雁栖翡翠花园,怀柔区,,,2-3室77-120㎡
强佑府学上院,海淀区,74500,960-1176万,1-3室63-180㎡
荣盛•阿尔卡迪亚•高铁新干线帝品御居,北京周边,8500,总价待定,1-3室67-113㎡
蓝河湾,密云区,16292,总价待定,3室130-150㎡
益田远洋万和风景,密云区,24000,420-693万,4-5室200-330㎡
club+,房山区,,367万起,3室153㎡
大苑海淀名著,海淀区,,,
华泰靖湘园,北京周边,11000,总价待定,
海南-龙栖湾温泉1号-北京站,海淀区,,,1-2室38-85㎡
中国铁建耀中心,石景山区,,,
宏远临空总部港,顺义区,21000,285万起,1室136㎡
国悦府,海淀区,80948,总价待定,
金色漫香苑,昌平区,26020,总价待定,2-5室100-190㎡
珠光御景西园,丰台区,45000,总价待定,3-4室117-156㎡
海南-华侨城·椰海蓝天-北京站,海淀区,15000,73-329万,1-3室49-219㎡
昆明-东盟森林-北京站,呈贡区,8200,54万起,1室73㎡
绿地诺亚方舟,房山区,,,
高铁新干线,涿州市,15000,149-192万,2-3室99-128㎡
电建地产泷悦长安,门头沟区,,,3-4室128-245㎡
金燕学院府,北京周边,,,1-3室52-103㎡
鸿坤悦山湖,朝阳区,12000,总价待定,3室148-152㎡
中南熙悦,北京周边,,,1-3室48-106㎡
首创伊林郡,房山区,40000,总价待定,2-3室80-155㎡
天保凌云城,北京周边,,,1-4室51-120㎡
天鹅湖西峡谷,房山区,,,2室72-207㎡
鲁能钓鱼台美高梅别墅,丰台区,180000,总价待定,6室428㎡
中弘大厦,朝阳区,75000,2100万起,1室280㎡
汇福悦榕湾,北京周边,25100,总价待定,1-3室47-126㎡
鹏渤印象城牛津花园,北京周边,11000,总价待定,2-3室71-96㎡
金地中央世家,顺义区,,1500-1840万,5室300-460㎡
利锦府,朝阳区,85000,853-933万,1-5室55-304㎡
万科住宅,房山区,26000,总价待定,3室139-165㎡
北京经开数字新工场,大兴区,,,
华明云璟,北京周边,,,1-3室55-123㎡
中央公馆,大兴区,23500,总价待定,2-3室83-125㎡
中粮万科长阳半岛,房山区,50000,总价待定,
奥园北京源墅,密云区,23000,总价待定,3室110㎡
首开熙悦山熹园,房山区,24000,总价待定,
戛纳35号,海淀区,65934,总价待定,
中骏四季花都,北京周边,,,2-4室65-110㎡
北京金科天籁城,大兴区,15000,总价待定,2室90㎡
当代Moma历峰,东城区,91000,总价待定,2-4室129-437㎡
博悦府,大兴区,29452,总价待定,3-8室133-258㎡
翡翠滨江城,北京周边,,,2-3室78-120㎡
中海九号公馆,丰台区,54545,总价待定,
文化都汇,大兴区,,,1室1560㎡
福海棠华苑,丰台区,,,1-3室68-133㎡
万通新界艺墅公馆,北京周边,,,3-5室124-231㎡
金竹首府,北京周边,,,2-3室95-160㎡
温莎郡,北京周边,6500,总价待定,2-3室77-132㎡
马来西亚-碧桂园森林城市-北京站,海淀区,,117-320万,1-6室48-577㎡
珠江东都国际,通州区,50000,1050万起,3室140㎡
金隅香溪家园,通州区,40000,总价待定,2-5室90-188㎡
东方玫瑰家园,通州区,70000,602万起,2室86㎡
万年园博墅,丰台区,59000,2690万起,2-6室86-455㎡
香榭家园,北京周边,80000,总价待定,
玲珑佳园,北京周边,5300,总价待定,
天子庄园,北京周边,9734,总价待定,
华尔公馆,东城区,,,
西山壹号院,海淀区,67207,总价待定,
鸿福天地,密云区,16051,总价待定,271㎡
元熙华府,丰台区,80000,总价待定,1-3室63-139㎡
凯德锦绣慈云壹号,朝阳区,100000,总价待定,3-6室119-242㎡
尚城汇,昌平区,26000,134万起,1室56㎡
北京岭秀,平谷区,26000,总价待定,4室223-260㎡
首创新悦都,房山区,22015,总价待定,
润卓天伦湾,北京周边,,,2-3室76-125㎡
中国铁建梧桐汇,门头沟区,34000,149-265万,1-2室44-78㎡
复地中心,通州区,,,
八达岭阿尔卡迪亚,延庆区,,,3室78-144㎡
珠光逸景,丰台区,,,1-4室65-187㎡
BDA国际广场,大兴区,,,
蓝岸丽舍,顺义区,18000,总价待定,
北京富力城19街,朝阳区,,,
首创禧瑞山,顺义区,,705万起,3室141㎡
田园牧歌,顺义区,7523,总价待定,6室60-376㎡
泰禾北京院子,朝阳区,,,7室160-510㎡
夏威夷水岸1号,北京周边,20640,总价待定,
三亚-半山香榭-北京站,海淀区,28000,228-391万,2-3室85-146㎡
中海金钻街,石景山区,60000,总价待定,1室100㎡
中建高街国际,北京周边,,,3室41-130㎡
首开熙悦睿府书香,房山区,19000,92万起,1室48㎡
世茂璀璨天城,北京周边,11800,总价待定,2-3室86-135㎡
欧逸水岸,北京周边,,,
绿地中央广场,海淀区,39000,总价待定,1室54-119㎡
邑上公馆,房山区,19852,总价待定,
合景悦邑,顺义区,,,
红杉公馆,通州区,26000,总价待定,
浩庭花园,东城区,6800,总价待定,2-3室83-103㎡
高和蓝峰大厦,朝阳区,,,
碧桂园九龙湾,房山区,13000,53-163万,1-3室41-126㎡
泰晤士印象,通州区,39000,总价待定,2-3室85-110㎡
鸿都步行街,房山区,5600,总价待定,1室61㎡
枢密院尖子班商铺,通州区,,,1室108㎡
东御墅,通州区,35000,总价待定,
龙熙庄园,大兴区,35000,总价待定,
金桥国际,房山区,15000,72万起,1室48㎡
碧水蓝天,北京周边,6900,总价待定,
美景东方,朝阳区,53000,总价待定,
新奇世界御马坊,平谷区,15000,94万起,1室63㎡
三亚-海韵·半岭温泉-北京站,海淀区,,,2室110㎡
科拉思纳12座,通州区,,,
万通怀柔新新家园,怀柔区,27000,总价待定,
廊坊孔雀城公园海,北京周边,,,4室26-196㎡
百都家园,北京周边,,,2室92-95㎡
万科天竺悦城,顺义区,33229,总价待定,
运乔嘉园北区·博客园,通州区,24000,总价待定,3室174-245㎡
海南绿地城-北京站,海淀区,11500,75-144万,2-4室84-161㎡
鸿盛凯旋门,北京周边,14000,总价待定,3室140㎡
天和嘉园,通州区,,,
永定河孔雀城唐顿公馆,北京周边,,,2-3室81-93㎡
园博府,丰台区,,268万起,1室64㎡
江南山水别墅,朝阳区,70000,总价待定,
东亚环球国际,通州区,35000,156-195万,1室40-50㎡
龙熙旭辉六号院,大兴区,,,179㎡
建邦华庭,房山区,32000,总价待定,
首开龙湖天璞,朝阳区,,,
中海尚湖世家,昌平区,24028,总价待定,
中铁花溪渡,顺义区,45000,总价待定,
京温喜事广场,大兴区,,,
海南-南海之滨-北京站,海淀区,8600,111万起,3室130㎡
通州绿地中央广场,通州区,38000,总价待定,110㎡
恒大滨河左岸,房山区,,,3室85-86㎡
中建和悦国际,北京周边,,,2-3室79-98㎡
联东U谷永乐产业园,通州区,,,
一米阳光,东城区,7134,总价待定,2室76-98㎡
中海御鑫阁,丰台区,41672,总价待定,
北京海航国兴城,顺义区,24647,总价待定,1室53-68㎡
万科长阳半岛V公馆,房山区,23000,总价待定,1-2室60㎡
北科建泰禾·丽春湖院子,昌平区,99601,2513万起,4室441㎡
天恒旭辉7号院,大兴区,,,
宏益.公馆,惠城区,45000,240万起,1室60㎡
范阳凤凰城,北京周边,,,1-3室39-115㎡
点石商务公园,石景山区,,,1室50-70㎡
汇元和顺,北京周边,,,1-3室55-109㎡
金隅翡丽私享匯,海淀区,,,
夏威夷南岸玫瑰花园,东城区,16553,总价待定,
保利大都汇,通州区,85000,2550万起,1-5室252-300㎡
绿地中心海珀云庭,朝阳区,95000,总价待定,
鹏渤公园里,北京周边,,,2-3室95-101㎡
北京御墅,顺义区,,,6室552㎡
杉浩慢城,北京周边,,,3室364-391㎡
悦泽苑,延庆区,21978,总价待定,
尚华城Ⅱ期,东城区,4184,总价待定,1-4室63-169㎡
东洲家园,朝阳区,22000,总价待定,1-2室64-90㎡
夏威夷南岸二期,北京周边,15789,总价待定,
三亚-海棠华著-北京站,海淀区,,,3-6室78-125㎡
北京华贸城,朝阳区,45000,总价待定,
园墅,昌平区,30000,总价待定,
格林云墅,大兴区,23000,总价待定,
金隅花石匠,通州区,30219,总价待定,
海口-华盛中央公园-北京站,海淀区,19000,109-118万,2室61-66㎡
公园6号,昌平区,29000,总价待定,
玉泉新城,海淀区,,,
顶秀欣园,东丽区,16000,100万起,1室63㎡
嘉都,北京周边,12600,总价待定,1-3室63-117㎡
花听泉,北京周边,13000,总价待定,1-3室39-105㎡
中兴和园·二期,三河市,,,1-4室56-125㎡
保利桃源香谷,平谷区,15500,总价待定,2-3室90-117㎡
华瞰墨园,海淀区,83000,总价待定,2-3室89-142㎡
一渡御景湾,房山区,,,1-3室57-93㎡
金隅•汇星苑,朝阳区,22000,总价待定,1-3室56-89㎡
汤泉墅,丰台区,55000,522万起,2-3室95㎡
八斗,朝阳区,125000,总价待定,2-4室88-179㎡
九号院花园洋房,东城区,12552,总价待定,2-3室88-114㎡
炫立方,顺义区,109800,总价待定,1室50-90㎡
华龙美钰,西城区,52000,总价待定,
鸿坤林语墅,大兴区,385306,总价待定,3-8室116-670㎡
旭辉26街区,顺义区,40000,总价待定,
兴创总部公园,大兴区,,,
三亚-公园88号-北京站,海淀区,,,2室78㎡
山水LAVIE,朝阳区,50000,总价待定,3-4室155-300㎡
半山花苑,房山区,12000,总价待定,1-3室75-115㎡
京南一品,北京周边,,,2-3室85-126㎡
阳光城君山墅,密云区,,,
京汉铂寓,门头沟区,28500,总价待定,1-4室70-118㎡
北京锋巢,东城区,7045,总价待定,
阿那亚城市公馆,海淀区,68000,总价待定,3-4室133-211㎡
硅谷SOHO,昌平区,,,
颐璟万和,大兴区,55016,总价待定,2-4室80-135㎡
康城暖山,朝阳区,,,
盛达财富中心,丰台区,,,
未来城,北京周边,,,1-2室47-83㎡
香汐,东城区,,,
龙冠冠华苑,昌平区,,,1-2室64-90㎡
美林君渡,北京周边,20000,总价待定,
soho北京公馆,朝阳区,82000,总价待定,1-3室144-318㎡
龙建华城,房山区,10000,总价待定,2室95-97㎡
碧桂园中心,怀柔区,,,
润景园,顺义区,,,2-3室75-118㎡
阳光上东双子座,朝阳区,46052,总价待定,4-6室252-491㎡
中国铁建环保嘉苑,海淀区,19000,总价待定,2-3室85-103㎡
金融街通州中心写字楼,通州区,,,
丽嘉新航城,北京周边,6329,总价待定,
泰禾长安中心,石景山区,47500,总价待定,547㎡
孔雀城艺境,北京周边,,,2-3室80-130㎡
首开保利熙悦林语,大兴区,52315,总价待定,3-4室138-280㎡
比弗利•山颂,延庆区,,,
和悦华玺,昌平区,49877,总价待定,2-4室79-129㎡
亦城科技中心,大兴区,,,
总部公馆,右安门,45000,总价待定,
龙湖西宸广场,丰台区,50000,总价待定,
中海金石公馆,石景山区,39000,总价待定,2-3室85-133㎡
首泰上河湾,北京周边,,,2-4室75-160㎡
永定河孔雀城凡尔赛花园,北京周边,,,2-3室75-95㎡
合生·世界村,通州区,20000,总价待定,
御景湿地,房山区,,,
永定河孔雀城空港壹号广场,北京周边,,,
枫景园,通州区,7386,总价待定,
房地远洋悦山水,通州区,16000,总价待定,2-3室82-104㎡
住总万科金域国际,昌平区,41101,总价待定,
励骏华庭,东城区,110000,总价待定,
温榆河上游别墅,顺义区,,,
华夏幸福城,北京周边,6838,总价待定,
绿地金融中心,朝阳区,,,
京泰广场聚乐汇,朝阳区,,,
亚奥观典商业广场,朝阳区,,,
新华联慧谷,平谷区,,,2-3室86-124㎡
首开熙悦湾,房山区,,,
永定府,东城区,,,
华龙美晟,东城区,,,
中海京西里,房山区,40837,总价待定,2-3室75-87㎡
富力飞常HAOS商铺,大兴区,,,
保利国际广场,朝阳区,,,
半壁港,通州区,,,
昌平北七家F2公建混合地块,昌平区,,,
德荣帝景,北京周边,6000,总价待定,
世园村,延庆区,,,
苹果园6号,石景山区,,,
绿地大兴启航国际,大兴区,23000,总价待定,
京南温泉小镇,北京周边,,,
G-PARK龙湖•云域,海淀区,,,
朱雀门,通州区,,,
宇达创意中心,朝阳区,23809,总价待定,
北河沿甲柒拾柒号,东城区,150000,总价待定,
新龙南邵住宅,昌平区,13513,总价待定,
金泉时代,朝阳区,50185,总价待定,
三亚-万科湖畔度假公园-北京站,海淀区,30000,112-246万,2-3室40-88㎡
塞纳庄园,北京周边,27000,总价待定,6室208-391㎡
中央风景,北京周边,,,2-3室81-141㎡
紫辰悦府,北京周边,8500,总价待定,1-3室56-113㎡
月亮河·七星公馆,通州区,78000,1770-2539万,3-4室227-325㎡
宜山居悦府,昌平区,,,
鸿坤新都荟商铺,大兴区,,,
燕都新天地,房山区,6500,总价待定,1室59㎡
富龙四季小镇,延庆区,20000,57-345万,1-3室42-192㎡
四合上院,宣武,93441,总价待定,
中海寰宇天下,石景山区,63500,总价待定,2-4室83-146㎡
金地世家广场,顺义区,,,
永定河孔雀城美丽园,东城区,,,2-3室74-98㎡
金隅翡丽蓝爵堡,海淀区,53000,总价待定,4室179-239㎡
三亚-利泽·海月-北京站,海淀区,,,3室92-106㎡
新光大中心,通州区,,,43-151㎡
使馆壹号院,东城区,150000,总价待定,3-4室236-271㎡
富力新城,海淀区,,,2-4室79-200㎡
北京城建上悦居,门头沟区,,,2-3室75-89㎡
丽舍公寓,朝阳区,,,1-4室55-80㎡
合景中心,通州区,,,2-3室77-114㎡
朝青汇,朝阳区,46666,总价待定,
V7北湖壹号,房山区,,,
国门智慧城,顺义区,,,
中建·国际城,怀柔区,,,
梵石ITOWN·西店记忆,朝阳区,,,
京西·金泰丽湾,石景山区,25000,总价待定,
首开缇香郡,通州区,29750,总价待定,2-3室82-150㎡
大苑·海淀名著,海淀区,,,
首创禧瑞金海,平谷区,,,
泰禾•北京院子二期,朝阳区,,,
TBD云集中心,海淀区,,,
华润萬象星座,密云区,,,
翡翠西湖,丰台区,,,
和锦薇棠,朝阳区,88000,总价待定,3室178-290㎡
香悦四季,顺义区,42000,总价待定,4室138㎡
领秀·翡翠墅,丰台区,65000,总价待定,
K2十里春风院子,通州区,28100,总价待定,
鲁能钓鱼台美高梅公馆,丰台区,,,4-5室332-428㎡
富兴首府,朝阳区,,,
新地国际家园,通州区,60000,总价待定,2-4室96-166㎡
首开缇香墅,通州区,38000,总价待定,5室154-242㎡
中骏天宸,西城区,125000,总价待定,
融达国际,丰台区,,,
广渠金茂府商街,朝阳区,,,
兴创国际中心,大兴区,38000,总价待定,
住总正华时代广场,大兴区,,,
恒大国际广场,房山区,,,
融景美庐,延庆区,14193,总价待定,
万科天竺悦城广场,顺义区,60000,总价待定,
长阳光和作用,房山区,,,2-3室82-165㎡
珠江悦公馆,通州区,27000,总价待定,
丽都悦府,朝阳区,,,
波特兰花园,顺义区,,,3-5室388-498㎡
华萃西山,门头沟区,51205,总价待定,3-4室83-126㎡
珠江四季悦城,通州区,23900,总价待定,65-90㎡
玺源台,西城区,108000,总价待定,
玺萌壹号院,丰台区,99500,总价待定,
长安府,朝阳区,,,5室593-1409㎡
金街,顺义区,,,
珠江国际公馆,通州区,27000,总价待定,1-2室61-150㎡
洛伽山庄云顶墅,房山区,,,
富兴国际中心,大兴区,38000,总价待定,
润枫领尚,通州区,48000,总价待定,1-4室55-175㎡
骏豪中央公园广场写字楼,朝阳区,140000,总价待定,
熙悦天街,房山区,,,
世贸怒放海-北京站,海淀区,,,1室39㎡
五和万科长阳天地,房山区,53000,总价待定,2-3室80-103㎡
佑安府,丰台区,,,2室90㎡
金领郡,北京周边,,,1-2室70-90㎡
新龙AB栋,昌平区,,,70-150㎡
招商都会中心,昌平区,50000,总价待定,3-4室87-135㎡
誉天下·盛寓,顺义区,65000,总价待定,3-6室120-560㎡
三亚-绿地悦澜湾-北京站,海淀区,26000,总价待定,3室110㎡
顺鑫华玺瀚楟,顺义区,,,
三亚-琥珀假日天地-北京站,海淀区,,,2-3室80-105㎡
北辰香麓,海淀区,,,4-5室142-162㎡
海南-富力·月亮湾,朝阳区,11000,82万起,2室74㎡
天润福熙大道,朝阳区,105000,1071-1470万,2-3室102-140㎡
首地浣溪谷,大兴区,21500,总价待定,
东方丽城,通州区,12000,总价待定,2室75-88㎡
朝北8080小区,通州区,,111万起,1室37㎡
世源温泉家园,北京周边,,,2-3室101-125㎡
潮白星光公馆,东城区,14768,总价待定,
经略天则,通州区,,,203㎡
新世界丽樽,顺义区,47281,总价待定,7室136-953㎡
京洲世家,通州区,65000,604万起,2室92㎡
蓝爵公馆,房山区,23000,总价待定,3室139-163㎡
北京湾,昌平区,19715,总价待定,
祥云赋,顺义区,55583,总价待定,
御河壹号庄园,顺义区,,,
海上海花园,丰台区,65500,总价待定,2-3室90-147㎡
卓越万科翡翠山晓,石景山区,52024,总价待定,
珠江阙,通州区,,,3-4室151-328㎡
天瑞宸章,朝阳区,68924,总价待定,
川谷汇北京总部,通州区,,,2000㎡
京投发展•锦悦府,密云区,,,
中南湾,大兴区,63500,总价待定,2-3室97-135㎡
保利佲悦大都汇,丰台区,,,
长安天街,门头沟区,,,
西山燕庐,门头沟区,,,2-4室80-172㎡
铜雀,朝阳区,130000,总价待定,1-2室147-183㎡
泰禾西府大院,丰台区,,,
大宁山庄,房山区,,,1-4室71-159㎡
金科天宸荟,大兴区,,,
海淀绿地中央广场公寓,海淀区,37000,总价待定,1室52-121㎡
金隅·金麟府,大兴区,,,3室114㎡
红廷别墅,朝阳区,2950,总价待定,
方恒时代中心,朝阳区,85000,总价待定,
绿地智汇健康城,大兴区,,,
果栋LOFT,昌平区,,,
泰晤士小镇,房山区,,,2-6室75-200㎡
北辰墅院1900,顺义区,,,3室136-282㎡
华润八号院,顺义区,,,4室285-591㎡
国家地理信息科技产业园,顺义区,,,1560㎡
三利中和城,房山区,,,2-4室78-123㎡
北京城建琨廷漫缇,房山区,,,2-4室88-176㎡
中信国安府,西城区,,,4室240-279㎡
阳光城·京兆府,通州区,,,5室260-380㎡
奥园二环广场,丰台区,,,
新地国际总部港,通州区,,,
旭辉一合相,大兴区,,,
五和万科长阳天地,房山区,53000,总价待定,2-3室80-103㎡
佑安府,丰台区,,,2室90㎡
碧桂园官厅蓝,延庆区,,,2-3室88-140㎡
北京风景,昌平区,48000,总价待定,2-4室95-150㎡
首开璞瑅墅,大兴区,,,5室327-589㎡
顺景石上清泉,朝阳区,81000,总价待定,3-8室511-888㎡
V7荷塘月色,房山区,,,4室146-203㎡
联合七号院,朝阳区,6800,总价待定,
顺鑫寰宇中心,顺义区,,,
丰台金茂广场,丰台区,55000,总价待定,
恒华安纳湖,顺义区,48000,总价待定,
ISOHO,北京周边,14000,总价待定,50-95㎡
